market,epiweek,year,forecast_date,target,target_end_date,location,type,quantile,value
Bragg/Pope,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bragg_Pope,quantile,0.025,0
Bragg/Pope,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bragg_Pope,quantile,0.05,0
Bragg/Pope,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bragg_Pope,quantile,0.1,0
Bragg/Pope,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bragg_Pope,quantile,0.15,0
Bragg/Pope,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bragg_Pope,quantile,0.2,0
Bragg/Pope,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bragg_Pope,quantile,0.25,0
Bragg/Pope,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bragg_Pope,quantile,0.3,0
Bragg/Pope,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bragg_Pope,quantile,0.35,0
Bragg/Pope,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bragg_Pope,quantile,0.4,0
Bragg/Pope,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bragg_Pope,point,NA,0
Bragg/Pope,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bragg_Pope,quantile,0.45,0.1
Bragg/Pope,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bragg_Pope,quantile,0.5,0.2
Bragg/Pope,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bragg_Pope,quantile,0.55,0.3
Bragg/Pope,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bragg_Pope,quantile,0.6,0.4
Bragg/Pope,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bragg_Pope,quantile,0.65,0.5
Bragg/Pope,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bragg_Pope,quantile,0.7,0.6
Bragg/Pope,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bragg_Pope,quantile,0.75,0.7
Bragg/Pope,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bragg_Pope,quantile,0.8,0.9
Bragg/Pope,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bragg_Pope,quantile,0.85,1.1
Bragg/Pope,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bragg_Pope,quantile,0.9,1.5
Bragg/Pope,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bragg_Pope,quantile,0.95,1.9
Bragg/Pope,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bragg_Pope,quantile,0.975,1.9
Bragg/Pope,41,2022,2022-10-12,1 wk ahead CLI pct,2022-10-15,Bragg_Pope,quantile,0.99,1.9
Bragg/Pope,42,2022,2022-10-12,2 wk ahead CLI pct,2022-10-22,Bragg_Pope,quantile,0.01,0
